Date,Total,Family,Friends,Acquaintances,Classmates,Close,Romantic Partners,Coworkers,FamilyFriends,Dislike
11-Apr,11,3,3,2,0,0,0,0,2,1
11-May,11,2,2,2,4,1,0,0,0,0
11-Jun,4,1,0,2,0,0,0,0,1,0
11-Jul,2,1,0,0,1,0,0,0,0,0
11-Aug,6,4,0,0,2,0,0,0,0,0
11-Sep,11,1,0,2,7,1,0,0,0,0
11-Oct,1,0,0,0,1,0,0,0,0,0
11-Nov,12,0,0,2,9,0,0,0,1,0
11-Dec,1,0,0,0,1,0,0,0,0,0
12-Jan,4,0,0,1,3,0,0,0,0,0
12-Feb,7,1,0,3,3,0,0,0,0,0
12-Mar,6,0,0,1,5,0,0,0,0,0
12-Apr,6,0,0,1,5,0,0,0,0,0
12-May,0,0,0,0,0,0,0,0,0,0
12-Jun,10,1,8,0,0,1,0,0,0,0
12-Jul,9,0,4,4,1,0,0,0,0,0
12-Aug,7,2,-12,15,1,1,0,0,0,0
12-Sep,6,-1,0,0,5,2,0,0,0,0
12-Oct,4,0,1,0,3,0,0,0,0,0
12-Nov,11,0,1,7,3,0,0,0,0,0
12-Dec,4,0,0,2,2,0,0,0,0,0
13-Jan,3,0,0,1,2,0,0,0,0,0
13-Feb,0,0,0,0,0,0,0,0,0,0
13-Mar,1,0,0,1,0,0,0,0,0,0
13-Apr,1,0,0,0,1,0,0,0,0,0
13-May,1,0,-1,0,1,0,1,0,0,0
13-Jun,12,0,7,3,1,0,0,0,0,1
13-Jul,3,0,2,1,0,0,0,0,0,0
13-Aug,4,0,-8,10,1,1,0,0,0,0
13-Sep,6,0,0,2,3,0,0,0,0,1
13-Oct,1,0,0,1,0,0,0,0,0,0
13-Nov,3,0,0,2,1,0,0,0,0,0
13-Dec,4,0,0,1,3,0,0,0,0,0
14-Jan,2,1,0,1,0,0,0,0,0,0
14-Feb,3,0,0,3,1,0,-1,0,0,0
14-Mar,12,0,1,9,0,1,0,0,0,1
14-Apr,6,0,0,4,2,0,0,0,0,0
14-May,2,0,1,1,0,0,0,0,0,0
14-Jun,6,0,3,3,0,0,0,0,0,0
14-Jul,11,0,0,10,0,0,0,0,0,1
14-Aug,4,0,-4,6,0,0,0,0,2,0
14-Sep,6,0,0,3,3,0,0,0,0,0
14-Oct,2,0,0,2,0,0,0,0,0,0
14-Nov,8,0,0,5,2,0,0,0,1,0
14-Dec,7,0,2,1,3,0,0,0,1,0
15-Jan,2,0,0,1,1,0,0,0,0,0
15-Feb,1,0,0,1,0,0,0,0,0,0
15-Mar,4,0,0,3,1,0,0,0,0,0
15-Apr,1,0,0,1,0,-1,0,0,0,1
15-May,3,0,0,2,1,0,0,0,0,0
15-Jun,1,0,0,0,0,0,0,0,0,1
15-Jul,2,0,0,1,1,0,0,0,0,0
15-Aug,14,0,0,12,1,0,0,0,1,0
15-Sep,3,0,1,1,1,0,0,0,0,0
15-Oct,4,0,0,1,3,0,0,0,0,0
15-Nov,4,0,0,0,4,0,0,0,0,0
15-Dec,2,0,0,0,2,0,0,0,0,0
16-Jan,1,0,0,1,0,0,0,0,0,0
16-Feb,8,0,0,1,7,0,0,0,0,0
16-Mar,5,0,0,2,3,0,0,0,0,0
16-Apr,13,0,0,5,7,0,0,0,1,0
16-May,24,1,3,132,-111,-2,0,0,0,1
16-Jun,13,0,0,12,0,1,0,0,0,0
16-Jul,0,0,0,12,0,0,0,1,0,1
16-Aug,21,0,0,17,3,0,0,1,0,0
16-Sep,22,0,10,-23,25,9,0,1,0,0
16-Oct,16,0,0,2,15,0,0,0,0,0
16-Nov,7,1,1,2,2,0,0,0,1,0
16-Dec,6,-1,0,5,1,0,0,0,0,0
17-Jan,5,0,0,1,3,0,0,0,1,0
17-Feb,2,0,0,1,1,0,1,0,0,0
17-Mar,2,0,0,1,1,0,-1,0,0,0
17-Apr,7,0,1,4,2,-1,0,0,0,1
17-May,11,0,0,6,5,0,0,0,0,0
17-Jun,6,0,0,5,0,0,0,0,1,0
17-Jul,7,1,0,1,0,0,0,5,0,0
17-Aug,54,0,0,2,35,0,1,16,0,0
17-Sep,35,1,2,13,14,0,0,5,0,0
17-Oct,14,0,0,7,3,1,0,3,0,0
17-Nov,13,0,1,2,5,0,0,5,0,0
17-Dec,11,0,1,8,2,0,0,0,0,0
18-Jan,5,0,1,3,0,0,0,0,1,0
18-Feb,12,2,0,7,0,0,0,3,0,0
18-Mar,11,3,0,7,0,1,0,0,0,0
18-Apr,10,0,0,3,0,0,0,6,1,0
18-May,27,1,0,15,4,0,0,6,1,0
18-Jun,6,0,0,1,0,0,0,5,0,0
18-Jul,9,0,0,3,1,0,-1,6,0,0
18-Aug,25,0,0,3,3,1,1,16,1,0
18-Sep,21,0,0,5,2,1,-1,12,2,0
18-Oct,24,1,0,7,7,0,0,9,0,0
19-Nov,15,0,0,6,0,0,0,9,0,0
18-Dec,9,0,0,3,4,0,0,2,0,0
19-Jan,2,0,0,1,1,0,0,0,0,0
19-Feb,9,0,0,3,4,0,0,2,0,0
Total,761,26,31,423,144,18,0,113,19,10
